Id,SalePrice
2306,183846
2307,186699
2308,226814
2309,266719
2310,181344
2311,195546
2312,170011
2313,174825
2314,170293
2315,174618
2316,194142
2317,190232
2318,165755
2319,165935
2320,168411
2321,222755
2322,165102
2323,188522
2324,175197
2325,197847
2326,173734
2327,199822
2328,219645
2329,192880
2330,181214
2331,363619
2332,397334
2333,304353
2334,241519
2335,247179
2336,314869
2337,197274
2338,271388
2339,194690
2340,467299
2341,209368
2342,233255
2343,215611
2344,203197
2345,226641
2346,201286
2347,187728
2348,229724
2349,159619
2350,339282
2351,272349
2352,265488
2353,233227
2354,129983
2355,150722
2356,154381
2357,186742
2358,203455
2359,137133
2360,118216
2361,148373
2362,286813
2363,131543
2364,160859
2365,211146
2366,169803
2367,208263
2368,208294
2369,210191
2370,152375
2371,151540
2372,202831
2373,271161
2374,316322
2375,217832
2376,290186
2377,387970
2378,137545
2379,219697
2380,149456
2381,163380
2382,193545
2383,209736
2384,249259
2385,166841
2386,138276
2387,133628
2388,97932
2389,115970
2390,150379
2391,134909
2392,120294
2393,162697
2394,131021
2395,206059
2396,146968
2397,220765
2398,128186
2399,68214
2400,67051
2401,115627
2402,130184
2403,132471
2404,148412
2405,153771
2406,140544
2407,124677
2408,139581
2409,119636
2410,178048
2411,121151
2412,163977
2413,130538
2414,152244
2415,117616
2416,130445
2417,137393
2418,133633
2419,131702
2420,126620
2421,142375
2422,113973
2423,137715
2424,160454
2425,216465
2426,138224
2427,147043
2428,176919
2429,107676
2430,135149
2431,108325
2432,138475
2433,135801
2434,135375
2435,159054
2436,97342
2437,102240
2438,121104
2439,103218
2440,119529
2441,95058
2442,96496
2443,117269
2444,123561
2445,88411
2446,138743
2447,187268
2448,130127
2449,110651
2450,155241
2451,117008
2452,228102
2453,91611
2454,109843
2455,118207
2456,133507
2457,127308
2458,121935
2459,107340
2460,130909
2461,123484
2462,127204
2463,120687
2464,190479
2465,141446
2466,105007
2467,134876
2468,78921
2469,76931
2470,194743
2471,203084
2472,174325
2473,113602
2474,61317
2475,222490
2476,117562
2477,126097
2478,151229
2479,110993
2480,164529
2481,128160
2482,119479
2483,108476
2484,123645
2485,122722
2486,154206
2487,185621
2488,166355
2489,150369
2490,153314
2491,99932
2492,175775
2493,163195
2494,171685
2495,95525
2496,214910
2497,164821
2498,106561
2499,88773
2500,131591
2501,144360
2502,164131
2503,112741
2504,181613
2505,234392
2506,241331
2507,320459
2508,245807
2509,215260
2510,207731
2511,170972
2512,200931
2513,217848
2514,283716
2515,149920
2516,174136
2517,147400
2518,161107
2519,218660
2520,217612
2521,192956
2522,215651
2523,116837
2524,132152
2525,148001
2526,137985
2527,124649
2528,129052
2529,124301
2530,124949
2531,239501
2532,227590
2533,190152
2534,223963
2535,299501
2536,226741
2537,243385
2538,175749
2539,186866
2540,164837
2541,183193
2542,171819
2543,117862
2544,123198
2545,148619
2546,121776
2547,147557
2548,158514
2549,165312
2550,335385
2551,118619
2552,130755
2553,59189
2554,89628
2555,130183
2556,105821
2557,103058
2558,146209
2559,129826
2560,141988
2561,139968
2562,131806
2563,148847
2564,172180
2565,111342
2566,150821
2567,123391
2568,204769
2569,208915
2570,112307
2571,183016
2572,138471
2573,215206
2574,259905
2575,132840
2576,132525
2577,136811
2578,82250
2579,52558
2580,98558
2581,120754
2582,131113
2583,337799
2584,182098
2585,184020
2586,242277
2587,200188
2588,154058
2589,156315
2590,197352
2591,230672
2592,210801
2593,239275
2594,171162
2595,178072
2596,314798
2597,176466
2598,262743
2599,265466
2600,179746
2601,138435
2602,89081
2603,91756
2604,89152
2605,84363
2606,142981
2607,207140
2608,223175
2609,172196
2610,118224
2611,150600
2612,168325
2613,136811
2614,125686
2615,154215
2616,146996
2617,195216
2618,222171
2619,202938
2620,185086
2621,187895
2622,188601
2623,236968
2624,302798
2625,280568
2626,163030
2627,146947
2628,437903
2629,390269
2630,384474
2631,447060
2632,381962
2633,290348
2634,435826
2635,162904
2636,178928
2637,172445
2638,279535
2639,192832
2640,150486
2641,108743
2642,198262
2643,104755
2644,110293
2645,108908
2646,97089
2647,104947
2648,133934
2649,155924
2650,139930
2651,142809
2652,414149
2653,257537
2654,224805
2655,425614
2656,335776
2657,358113
2658,291241
2659,280725
2660,389949
2661,364102
2662,391380
2663,267467
2664,243883
2665,339529
2666,268107
2667,167510
2668,172073
2669,170821
2670,292686
2671,178379
2672,177963
2673,193840
2674,197525
2675,140796
2676,194343
2677,203879
2678,236021
2679,255684
2680,282618
2681,373932
2682,304097
2683,532426
2684,277205
2685,317009
2686,246645
2687,313180
2688,205263
2689,199010
2690,404923
2691,175921
2692,141720
2693,195777
2694,135029
2695,188959
2696,182141
2697,186784
2698,195137
2699,177629
2700,153558
2701,152285
2702,104372
2703,111328
2704,139112
2705,115813
2706,108851
2707,122730
2708,140103
2709,114897
2710,130937
2711,287650
2712,452025
2713,151528
2714,138578
2715,156831
2716,135113
2717,187681
2718,218714
2719,148907
2720,166643
2721,129816
2722,161323
2723,139912
2724,121140
2725,134738
2726,150693
2727,157226
2728,171051
2729,152540
2730,149396
2731,131103
2732,127687
2733,156893
2734,125816
2735,138209
2736,147115
2737,125044
2738,132500
2739,169234
2740,137152
2741,138615
2742,158802
2743,152687
2744,156691
2745,141959
2746,143342
2747,149881
2748,119365
2749,126083
2750,137194
2751,134581
2752,198913
2753,145528
2754,232388
2755,142299
2756,105249
2757,73698
2758,99308
2759,162854
2760,133451
2761,141837
2762,141113
2763,177572
2764,142279
2765,284634
2766,136693
2767,70601
2768,118851
2769,123744
2770,144538
2771,109053
2772,112682
2773,178411
2774,150295
2775,124341
2776,141581
2777,135982
2778,110151
2779,115805
2780,93438
2781,95411
2782,88211
2783,101622
2784,117913
2785,126717
2786,69321
2787,126650
2788,71982
2789,171074
2790,85617
2791,107761
2792,67347
2793,169793
2794,95577
2795,117462
2796,107300
2797,240064
2798,108155
2799,123130
2800,65584
2801,104364
2802,133938
2803,152733
2804,140271
2805,108182
2806,90805
2807,158233
2808,149928
2809,137884
2810,127671
2811,164874
2812,154549
2813,151715
2814,147518
2815,98168
2816,244774
2817,155018
2818,129236
2819,167750
2820,140400
2821,101348
2822,202199
2823,341253
2824,166698
2825,139415
2826,135570
2827,153099
2828,222170
2829,195195
2830,238414
2831,167814
2832,264475
2833,311634
2834,206229
2835,207218
2836,193637
2837,169331
2838,147331
2839,172951
2840,191260
2841,202934
2842,232264
2843,154074
2844,168367
2845,126210
2846,203312
2847,199788
2848,210779
2849,202436
2850,284875
2851,230731
2852,241498
2853,228768
2854,125118
2855,199381
2856,196982
2857,188793
2858,200437
2859,115885
2860,144719
2861,137739
2862,196818
2863,129795
2864,275419
2865,126294
2866,146415
2867,110581
2868,101405
2869,99097
2870,123039
2871,85577
2872,50132
2873,105355
2874,156323
2875,111926
2876,167140
2877,146458
2878,150121
2879,150016
2880,111576
2881,151382
2882,171425
2883,190604
2884,182417
2885,178040
2886,228183
2887,87914
2888,131607
2889,48744
2890,79952
2891,139700
2892,39877
2893,72797
2894,51520
2895,347066
2896,307025
2897,217883
2898,146234
2899,192511
2900,161843
2901,241745
2902,192849
2903,353557
2904,351995
2905,94555
2906,181219
2907,112648
2908,133500
2909,149700
2910,78899
2911,90021
2912,155738
2913,88280
2914,86878
2915,96952
2916,88397
2917,175528
2918,125227
2919,229009
